                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.67532,                0.31638,                0.97121,                0.99469,                 0.9975,                0.99303,                0.85583,                 0.6302,                0.24028,                0.94823,             2.4525e-05,             2.4525e-05,             2.4525e-05
                    140,                 0.6793,                 0.3228,                0.97079,                0.99528,                0.99741,                0.99312,                0.85525,                0.62989,                0.23963,                0.94806,             2.2835e-05,             2.2835e-05,             2.2835e-05
                    141,                0.64944,                0.27433,                0.96662,                0.99486,                0.99713,                0.99333,                0.85336,                0.62729,                0.24374,                  0.947,             2.1146e-05,             2.1146e-05,             2.1146e-05
                    142,                0.64332,                0.26859,                0.95985,                0.99476,                 0.9973,                0.99378,                0.85483,                0.62457,                0.24292,                0.94583,             1.9456e-05,             1.9456e-05,             1.9456e-05
                    143,                0.64803,                 0.2683,                0.97011,                0.99521,                0.99726,                0.99372,                0.85595,                0.62509,                0.24341,                0.94599,             1.7766e-05,             1.7766e-05,             1.7766e-05
                    144,                0.64584,                 0.2691,                0.96572,                0.99526,                0.99724,                0.99335,                0.85481,                0.62202,                0.24313,                0.94471,             1.6077e-05,             1.6077e-05,             1.6077e-05
                    145,                0.63962,                0.26583,                0.96281,                0.99473,                0.99724,                 0.9938,                0.85711,                0.62158,                0.24152,                0.94512,             1.4387e-05,             1.4387e-05,             1.4387e-05
                    146,                0.63478,                0.26398,                0.96514,                0.99511,                 0.9973,                0.99348,                0.85764,                0.62099,                0.24103,                0.94463,             1.2698e-05,             1.2698e-05,             1.2698e-05
                    147,                 0.6389,                0.26498,                0.95891,                0.99516,                0.99728,                0.99361,                0.85837,                0.61813,                0.24016,                0.94301,             1.1008e-05,             1.1008e-05,             1.1008e-05
                    148,                0.63873,                0.26541,                0.96178,                0.99503,                 0.9972,                0.99341,                0.85946,                 0.6181,                0.24017,                0.94286,             9.3184e-06,             9.3184e-06,             9.3184e-06
                    149,                0.63675,                0.26256,                0.96247,                0.99512,                0.99729,                0.99347,                0.85926,                0.61652,                0.23991,                0.94243,             7.6288e-06,             7.6288e-06,             7.6288e-06
